"time","SineAndStep.out2","SineAndStep.out1","Ramp.out","MultiplyAndAdd.out2","MultiplyAndAdd.out1","Gain.out"
0.39,0,0.684547,1.725,2.14394e-14,2.14394e-14,-2.25901
0.391,0,0.716503,1.7275,0.0845546,0.0845546,-2.12757
0.392,0,0.748459,1.73,0.169109,0.169109,-1.99614
0.393,0,0.780416,1.7325,0.253664,0.253664,-1.8647
0.394,0,0.812372,1.735,0.338218,0.338218,-1.73327
0.395,0,0.844328,1.7375,0.422773,0.422773,-1.60183
0.396,0,0.865674,1.74,0.503219,0.503219,-1.44809
0.397,0,0.887019,1.7425,0.583665,0.583665,-1.29434
0.398,0,0.908365,1.745,0.664111,0.664111,-1.1406
0.399,0,0.929711,1.7475,0.744557,0.744557,-0.986855
0.4,0,0.951057,1.75,0.825003,0.825003,-0.833111
0.401,0,0.960451,1.7525,0.896171,0.896171,-0.666489
0.402,0,0.969845,1.755,0.967339,0.967339,-0.499867
0.403,0,0.979239,1.7575,1.03851,1.03851,-0.333244
0.404,0,0.988633,1.76,1.10968,1.10968,-0.166622
0.405,0,0.998027,1.7625,1.18084,1.18084,4.28788e-14
0.406,0,0.994879,1.765,1.23808,1.23808,0.169109
0.407,0,0.991731,1.7675,1.29531,1.29531,0.338218
0.408,0,0.988583,1.77,1.35255,1.35255,0.507327
0.409,0,0.985435,1.7725,1.40978,1.40978,0.676436
0.41,0,0.982287,1.775,1.46702,1.46702,0.845546
0.411,0,0.966795,1.7775,1.50649,1.50649,1.00644
0.412,0,0.951303,1.78,1.54595,1.54595,1.16733
0.413,0,0.935811,1.7825,1.58542,1.58542,1.32822
0.414,0,0.920319,1.785,1.62488,1.62488,1.48911
0.415,0,0.904827,1.7875,1.66435,1.66435,1.65001
0.416,0,0.877964,1.79,1.68328,1.68328,1.79234
0.417,0,0.851102,1.7925,1.70222,1.70222,1.93468
0.418,0,0.824239,1.795,1.72115,1.72115,2.07702
0.419,0,0.797376,1.7975,1.74009,1.74009,2.21935
0.42,0,0.770513,1.8,1.75902,1.75902,2.36169
0.421,0,0.733968,1.8025,1.75593,1.75593,2.47616
0.422,0,0.697422,1.805,1.75284,1.75284,2.59063
0.423,0,0.660876,1.8075,1.74974,1.74974,2.7051
0.424,0,0.624331,1.81,1.74665,1.74665,2.81957
0.425,0,0.587785,1.8125,1.74356,1.74356,2.93404
0.426,0,0.543853,1.815,1.71832,1.71832,3.01297
0.427,0,0.499921,1.8175,1.69309,1.69309,3.0919
0.428,0,0.455989,1.82,1.66785,1.66785,3.17083
