"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.429,1.05239,1.91996,-0.911931
0.43,1.04881,1.92167,-0.916166
0.431,1.04557,1.92329,-0.919943
0.432,1.04233,1.92491,-0.923721
0.433,1.03909,1.92653,-0.927498
0.434,1.03585,1.92815,-0.931275
0.435,1.0326,1.92977,-0.935053
0.436,1.02971,1.9313,-0.938362
0.437,1.02682,1.93283,-0.941672
0.438,1.02393,1.93437,-0.944982
0.439,1.02104,1.9359,-0.948292
0.44,1.01815,1.93743,-0.951602
0.441,1.01562,1.93888,-0.954436
0.442,1.01309,1.94032,-0.95727
0.443,1.01056,1.94177,-0.960105
0.444,1.00803,1.94321,-0.962939
0.445,1.0055,1.94466,-0.965773
0.446,1.00335,1.94602,-0.968124
0.447,1.00119,1.94737,-0.970476
0.448,0.99903,1.94873,-0.972827
0.449,0.996873,1.95009,-0.975179
0.45,0.994715,1.95145,-0.97753
0.451,0.992937,1.95272,-0.979393
0.452,0.99116,1.95399,-0.981256
0.453,0.989383,1.95526,-0.983118
0.454,0.987605,1.95653,-0.984981
0.455,0.985828,1.9578,-0.986844
0.456,0.984439,1.95898,-0.988213
0.457,0.983051,1.96016,-0.989583
0.458,0.981662,1.96134,-0.990952
0.459,0.980273,1.96253,-0.992322
0.46,0.978884,1.96371,-0.993691
0.461,0.977891,1.9648,-0.994564
0.462,0.976897,1.96589,-0.995436
0.463,0.975904,1.96699,-0.996309
0.464,0.97491,1.96808,-0.997182
0.465,0.973917,1.96918,-0.998054
0.466,0.973324,1.97018,-0.998428
0.467,0.972731,1.97119,-0.998802
0.468,0.972139,1.97219,-0.999176
0.469,0.971546,1.9732,-0.999549
0.47,0.970953,1.9742,-0.999923
0.471,0.970766,1.97512,-0.999797
0.472,0.970578,1.97603,-0.999671
0.473,0.970391,1.97695,-0.999545
0.474,0.970204,1.97786,-0.999419
0.475,0.970016,1.97878,-0.999293
0.476,0.970237,1.97961,-0.998667
0.477,0.970458,1.98044,-0.998042
0.478,0.970679,1.98126,-0.997416
0.479,0.9709,1.98209,-0.99679
0.48,0.971121,1.98292,-0.996165
0.481,0.971752,1.98365,-0.995041
0.482,0.972383,1.98439,-0.993917
0.483,0.973014,1.98513,-0.992794
0.484,0.973646,1.98587,-0.99167
0.485,0.974277,1.98661,-0.990547
0.486,0.975319,1.98725,-0.988928
0.487,0.976361,1.9879,-0.987309
0.488,0.977404,1.98855,-0.98569
0.489,0.978446,1.9892,-0.984071
0.49,0.979488,1.98985,-0.982453
0.491,0.980941,1.99041,-0.980343
0.492,0.982394,1.99097,-0.978233
0.493,0.983847,1.99153,-0.976123
0.494,0.985299,1.99208,-0.974013
0.495,0.986752,1.99264,-0.971903
0.496,0.988614,1.99311,-0.969307
0.497,0.990475,1.99358,-0.966712
0.498,0.992337,1.99405,-0.964116
0.499,0.994198,1.99452,-0.96152
0.5,0.99606,1.99499,-0.958924
0.501,0.998327,1.99537,-0.955849
0.502,1.00059,1.99575,-0.952774
0.503,1.00286,1.99613,-0.949699
